384,0.00520833
406.8,0.0122911
406.2,0.00246184
496.6,0.00805477
346.4,0.00577367
324.4,0.00308261
288.8,0.0034626
4608,0
377.3,0.00530082
391.2,0.00766871
379.6,0
289,0.00692042
285.5,0.0140105
349.4,0.0114482
354.3,0.0084674
321.2,0.0155666
413.8,0.00724988
469.8,0.0063857
369,0.00813008
420.3,0.0142755
377.2,0
419.7,0.00476531
433.3,0.00230787
4608,0
279.7,0
472.3,0.0042346
398.5,0
342.7,0.002918
341.6,0.0087822
399,0.00250627
339.5,0.00294551
368.1,0.00543331
378.2,0
335,0.00298507
475.7,0.00210217
377.8,0.00529381
391.1,0.00511378
370,0.00810811
344.3,0
336.2,0.00594884
367.6,0.00272035
456.7,0
395.8,0.00505306
385,0.0025974
438.5,0.013683
457,0.0218818
423.8,0.0188768
515.2,0.0252329
346,0.0115607
596.3,0.00670803
526.3,0.0133004
593.9,0.0218892
400.9,0.0224495
389.6,0.0256674
395.3,0.0126486
402.9,0.014892
403.5,0.0297398
402.5,0.00993789
