Label Area Mean StdDev Min Max Perim. IntDen Median %Area RawIntDen
15-12a_SD_M1_09.tif 6724 120.5 32.91 34 255 420.3 810600 117 0 3051000 
15-12a_SD_M1_09.tif 59.52 92.77 35.08 34 255 27.53 5522 92 0 20780 
15-12a_SD_M1_09.tif 76.52 103.5 25.29 52 175 30.77 7920 103 0 29810 
15-12a_SD_M1_09.tif 46.76 97.22 40.57 35 255 24.29 4546 92 0 17110 
15-12a_SD_M1_09.tif 64.83 94.07 20.9 54 152 29.15 6098 92 0 22950 
15-12a_SD_M1_09.tif 101 126.2 28.93 67 199 35.63 12740 131 0 47950 
15-12a_SD_M1_09.tif 125.4 93.41 25.17 45 159 39.67 11710 93 0 44090 
15-12a_SD_M1_09.tif 6150 122.2 32.42 31 255 377.2 751500 119 0 2828000 
15-12a_SD_M2_01.tif 8170 122 30.49 33 255 419.7 996700 122 0 3751000 
15-12a_SD_M2_01.tif 68.02 87.97 35.32 43 255 36.44 5984 80 0 22520 
15-12a_SD_M2_01.tif 71.21 84.87 35.18 36 255 29.96 6043 80 0 22740 
15-12a_SD_M2_01.tif 7474 129.8 34.81 31 255 433.3 970100 128 0 3651000 
15-12a_SD_M2_01.tif 124.6 83.46 41.05 34 255 40.48 10400 70 0 39140 
15-12a_SD_M2_01.tif 348300 155.4 48.98 19 255 4608 54120000 153 0 203700000 
15-12a_SD_M2_01.tif 4165 117.1 29.59 32 255 279.7 487500 116 0 1835000 
15-12a_SD_M2_01.tif 8247 120.3 29.9 33 255 472.3 992400 119 0 3735000 
15-12a_SD_M2_01.tif 59.78 95.47 30.48 50 182 27.53 5708 87 0 21480 
15-12a_SD_M2_01.tif 188.4 78.61 21.94 42 158 50.2 14810 74 0 55730 
15-12a_SD_M2_01.tif 6668 124.3 28.99 36 255 398.5 828600 123 0 3119000 
15-12a_SD_M2_01.tif 5411 128.7 29.38 40 255 342.7 696500 127 0 2621000 
15-12a_SD_M2_01.tif 42.78 92.92 18.03 61 171 24.29 3975 88 0 14960 
15-12a_SD_M2_01.tif 5364 126.5 28.97 39 255 341.6 678700 126 0 2554000 
15-12a_SD_M2_01.tif 83.96 85.4 26.02 45 175 32.39 7170 78 0 26990 
15-12a_SD_M2_01.tif 120.1 104.6 44.77 45 255 38.87 12570 94 0 47290 
15-12a_SD_M2_01.tif 76.52 108.6 48.17 50 255 30.77 8309 94 0 31270 
15-12a_SD_M2_01.tif 6882 128.2 29.44 46 251 399 882200 127 0 3320000 
15-12a_SD_M2_01.tif 94.06 106.7 32.34 57 255 36.44 10040 102 0 37770 
15-12a_SD_M2_01.tif 5515 129.8 27.81 47 250 339.5 715900 129 0 2694000 
15-12a_SD_M2_01.tif 75.46 112.9 36.61 63 255 31.58 8521 105 0 32070 
15-12a_SD_M2_04.tif 7102 124.5 32.94 31 255 368.1 884400 123 0 3329000 
15-12a_SD_M2_04.tif 51.01 101.1 46.49 46 255 25.91 5159 89 0 19420 
15-12a_SD_M2_04.tif 90.6 90.38 29.85 41 189 34.01 8189 84 0 30820 
15-12a_SD_M2_04.tif 5993 128.9 31.71 34 255 378.2 772300 127 0 2907000 
15-12a_SD_M2_04.tif 6132 112.3 28.44 38 255 335 688300 111 0 2590000 
15-12a_SD_M2_04.tif 57.66 85.07 27.42 38 154 27.53 4905 84 0 18460 
